name,plddt_binder,iptm,ptm,pae_interface,passes
P1_28_d2,43.7384,0.1,0.18,29.106465703275536,False
P1_78_d1,44.24079999999999,0.09,0.18,28.87952832369942,False
P1_80_d1,41.532666666666664,0.09,0.16,28.917595761078992,False
P1_67_d2,61.63506666666665,0.09,0.17,29.542722350674374,False
P1_67_d1,58.8496,0.09,0.17,29.176856454720618,False
P1_95_d2,38.389466666666664,0.09,0.16,29.288747784200385,False
P1_97_d1,69.98053333333333,0.09,0.23,28.97220038535646,False
P1_64_d2,68.29639999999999,0.09,0.22,29.073069171483624,False
P1_84_d2,53.264,0.09,0.17,29.306647784200386,False
P1_68_d2,63.66146666666666,0.09,0.22,29.043998265895954,False
P1_83_d1,76.21426666666667,0.09,0.23,29.13505356454721,False
P1_81_d1,40.7416,0.09,0.16,29.354300770712904,False
P1_98_d2,56.90373333333333,0.09,0.21,28.94005048169557,False
P1_61_d1,53.99373333333333,0.09,0.17,29.251181117533715,False
P1_99_d2,44.55893333333333,0.09,0.18,29.00315722543353,False
P1_58_d1,51.39493333333334,0.09,0.19,29.2278063583815,False
P1_68_d1,43.15706666666667,0.09,0.16,29.366523314065507,False
P1_70_d1,74.72813333333333,0.09,0.2,29.24285953757226,False
P1_95_d1,41.385999999999996,0.09,0.15,29.26387899807322,False
P1_78_d2,54.85066666666667,0.09,0.2,29.068092100192683,False
P1_89_d1,42.67773333333333,0.09,0.17,29.390367244701356,False
P1_89_d2,38.836666666666666,0.09,0.15,29.33372832369942,False
P1_7_d1,53.02360000000001,0.09,0.18,29.18475895953757,False
P1_75_d2,50.017599999999995,0.09,0.17,28.940460886319844,False
P1_91_d2,50.38493333333333,0.09,0.19,29.291654335260123,False
P1_74_d1,74.442,0.09,0.2,29.702028709055877,False
P1_86_d1,52.787333333333336,0.09,0.15,29.541286512524085,False
P1_81_d2,44.782533333333326,0.09,0.16,29.080114258188818,False
P1_73_d2,41.63186666666667,0.09,0.17,28.708319460500963,False
P1_72_d2,42.66746666666666,0.09,0.16,29.40055105973025,False
P1_72_d1,41.864533333333334,0.09,0.15,28.84933583815029,False
P1_71_d2,58.44813333333334,0.09,0.22,28.99206743737958,False
P1_7_d2,57.0644,0.09,0.2,29.1763161849711,False
P1_94_d2,68.70386666666668,0.09,0.22,28.991691136801542,False
P1_85_d2,77.62466666666667,0.09,0.24,29.259317919075148,False
P1_80_d2,40.01933333333333,0.09,0.16,28.843469749518302,False
P1_0_d1,72.39866666666668,0.09,0.2,29.904878420038536,False
P1_56_d2,44.12773333333333,0.09,0.18,28.884339306358385,False
P1_25_d1,54.956933333333325,0.09,0.17,29.30158073217726,False
P1_41_d2,51.80426666666666,0.09,0.17,29.573916570327555,False
P1_41_d1,56.77546666666665,0.09,0.19,29.305483044315995,False
P1_40_d2,67.64053333333335,0.09,0.23,28.938705973025044,False
P1_39_d2,56.53893333333333,0.09,0.18,29.44691599229287,False
P1_37_d1,47.602133333333335,0.09,0.16,29.454996724470135,False
P1_35_d2,72.86960000000002,0.09,0.23,29.102154335260114,False
P1_31_d2,44.144533333333335,0.09,0.16,29.13425741811175,False
P1_30_d2,49.55466666666667,0.09,0.16,29.647489210019266,False
P1_2_d2,76.9308,0.09,0.24,29.239310211946048,False
P1_29_d1,76.224,0.09,0.21,29.71499036608863,False
P1_27_d2,56.994266666666675,0.09,0.21,28.89712986512524,False
P1_27_d1,54.47346666666667,0.09,0.19,29.320861078998078,False
