saved_as,original_filename,artifact_id,version_id,content_type,size_bytes
report.md,report.md,a490fa45-5849-400a-8a41-d023616e56d7,7fdaa97f-ce9c-4b97-a2a9-57dda4fe4c40,text/markdown,20225
README__50c34a8d.md,README.md,50c34a8d-7f23-4f41-8a7a-a3600da96286,7671d416-8403-475e-8f8c-be5bc718f7c4,text/markdown,12105
score_epitope_fidelity.py,score_epitope_fidelity.py,eb82c702-82e5-4517-9a19-f6962b3d191a,0cd7d22c-5c0d-42e7-b5b2-e19e8df61001,text/x-python,7869
ranked_binders.csv,ranked_binders.csv,65dec57e-92c7-4b45-a6c3-4b89a71ccbb6,e4c98890-58b3-4a77-9af5-98b9cbe3da9c,text/csv,3402
ns1_benchmark.tar.gz,ns1_benchmark.tar.gz,3da0eacc-f54a-46d4-a288-1757f15e06a0,fda0c2c1-18bd-42d6-a435-d9c9b2ea9a81,application/gzip,1173873
rubric_coverage_matrix.md,rubric_coverage_matrix.md,afa42c12-039c-466d-8b8f-c3b44e6d85fd,766f6b6d-76e3-4888-ae38-d1cedd858d67,text/markdown,5302
revised_report_outline__65a57709.md,revised_report_outline.md,65a57709-0fef-428f-9dce-275b8f59628a,bb143923-ca03-49b2-93e9-f617d45a8a6a,text/markdown,38041
fig16_second_arm.png,fig16_second_arm.png,dec03150-09d0-45cd-aee6-cb97c799dc5e,c2b5dbb2-a46a-4c80-a0ff-3c54e94774dc,image/png,152898
fig15_directionB_rederivation.png,fig15_directionB_rederivation.png,21501620-200e-4a6c-8e59-480f097a07e8,ac4d3c45-ecd5-4e91-aded-a17b2d40cc34,image/png,172550
fig14_rescue_campaign.png,fig14_rescue_campaign.png,2453b4af-fc60-4449-87ac-b60fefec27e9,b21de07e-ff07-44eb-8c7f-e01435dc642d,image/png,134458
Non Trivial Report PDF final.pdf,Non Trivial Report PDF final.pdf,7e1368cf-d8a4-490c-a177-829682adc4a2,fa6a7978-77cd-471f-8ef7-01a38dba22e0,application/pdf,3149007
Report_ Evaluating the Robustness of SHAP in Judicial Models – Anna Deng and Mija Reddy-2.pdf,Report_ Evaluating the Robustness of SHAP in Judicial Models – Anna Deng and Mija Reddy-2.pdf,9af6d85a-4312-414c-a38b-151fa5ac7184,70e9b15c-1d00-4a4a-889f-667b922d16a5,application/pdf,5508483
Project_ Developing the First Mechanistic Forecast for Future Dengue Prevalence-2.pdf,Project_ Developing the First Mechanistic Forecast for Future Dengue Prevalence-2.pdf,a46fc008-7eeb-4943-993c-fdd460707d9b,b96aac92-c0a7-4078-972d-0410efd9cad0,application/pdf,1849979
methods.md,methods.md,1c857ec7-9c2e-4adc-9c23-b6cae0e3f909,d111bc3a-4bf6-480e-acb5-bc47c3e7bfba,text/markdown,10521
plan_assemble-the-dengue-ns1-binder-switch-re_8d9448e6.json,plan_assemble-the-dengue-ns1-binder-switch-re_8d9448e6.json,4dd2315b-1d09-47e4-b6aa-4815fd6c1c29,277fb47f-eeed-4fbc-98c3-b26bfb145a80,application/json,5341
report_handoff_prompt.md,report_handoff_prompt.md,871b11a2-5dbb-4293-8d7e-b9b7317b38f7,cf91252c-5da9-4171-b9d1-01842d718d1b,text/markdown,12834
switch_design_spec.md,switch_design_spec.md,b0eca503-8845-4c2e-bd24-44b7fa276736,7fd92688-7a3f-43c0-83b9-5bdab003c57b,text/markdown,6951
fig13_switch_geometry.png,fig13_switch_geometry.png,374ebcfd-6494-426e-afd0-6a58dd7adf8e,642acadf-a508-462c-a538-3e49d23dad5b,image/png,207142
switch_geometry_measurements.csv,switch_geometry_measurements.csv,059fe5b9-cec8-4cb5-80e6-df7ab529689b,5a11214a-4a48-4fdd-9f1e-7db6fc79c764,text/csv,928
second_arm_finding.md,second_arm_finding.md,35ea5c4d-e698-4754-955d-e2c748cbef4c,ae4f4ce4-27db-4814-91c2-4637a42da6d3,text/markdown,4696
second_arm_conservation.csv,second_arm_conservation.csv,a132a6ae-dd0c-4c65-9d0b-009acc20b993,ac010d6c-c2a6-442a-9769-8a973f16c9ef,text/csv,714
rescue_finding.md,rescue_finding.md,7b7c7a21-aae0-44cf-9b4e-38c71034432a,4e3c26a2-d1e1-4aeb-a31c-f33d0ad01224,text/markdown,5029
direction_b_tractability.md,direction_b_tractability.md,3ac7cbed-4fd3-40e3-acfc-55a74231ac69,6a727f26-10de-48f1-b0af-8a01b0206b65,text/markdown,6353
direction_b_burial.csv,direction_b_burial.csv,dc9263cd-55b4-4b6b-ac32-65479aa95033,5f6d21f2-3123-4451-903d-77c0756fff92,text/csv,1799
rescue_summary.csv,rescue_summary.csv,2ccc945d-fd89-4216-a3fd-c07a594eef8d,71422542-88e8-490a-9298-fe3f47032917,text/csv,1187
rescue_results.csv,rescue_results.csv,04d60ee3-e73c-43c3-81b6-0edf6ce8ad0d,e75bdb3d-b5ea-47a0-8278-1127cd308abb,text/csv,6314
fig12_ternary_validation.png,fig12_ternary_validation.png,f1e611b6-fe16-4701-8184-3425767ddfbe,09942e79-5dba-4142-825a-ce20bf9dace5,image/png,173202
ternary_finding.md,ternary_finding.md,14aa5449-c767-4a09-864e-451dd39902fa,222d748e-f9ff-4c8a-9312-0d329f3fe85f,text/markdown,5705
ternary_results.csv,ternary_results.csv,17fbadf6-88ff-4e8a-a9a2-786355538875,48af06be-f6d9-40fc-a744-6259ea7273d3,text/csv,2355
ctrl_3g2.yaml,ctrl_3g2.yaml,d9eb0f89-562c-4ec0-8d19-aef2dddfeda4,35355064-a632-49bd-abe1-0c1fc11a97f5,text/yaml,716
tern_full.yaml,tern_full.yaml,7eb33d80-88c1-4bde-872f-3c6852f267b8,7f378d9a-2616-4a75-9a5a-2cabc9688ea3,text/yaml,876
run_ternary.sh,run_ternary.sh,b55d915e-2426-4cde-bbfb-6aa8ebaa2f2b,0170d880-8cdd-4ae6-902d-274dedb1a3d3,text/x-sh,1098
run_rescue.sh,run_rescue.sh,09197f94-f9f8-4884-9924-821f4b76d11d,5c19babf-d725-4848-a139-8b376118209e,text/x-sh,1380
binders.fasta,binders.fasta,eb031f91-5ef7-4817-989c-bee5762a9030,b3e213e2-4459-4483-95f3-d2ac87090be8,text/plain,1427
charge_variant_results.csv,charge_variant_results.csv,8389bf98-6a44-43ef-a9c7-336c3f10ac3b,72fb22df-2979-4877-b838-f0697fc9a602,text/csv,654
reranking_finding.md,reranking_finding.md,25c06279-1686-4f80-aced-b7f67c693160,034f499b-f175-41a8-b1a6-c9321e2affe0,text/markdown,4393
